========================================================================
NANDA-UNIFIED BENCHMARK RUNNER   (predictors built so far: L2-Norm, Dropout)
========================================================================
config     : /Users/jonathanjohn/Documents/grokking-benchmark/06_Code/configs/nanda_unified.yaml
output_dir : /Users/jonathanjohn/Documents/grokking-benchmark/08_Experiments/results/nanda_unified
device     : mps
task       : (a + b) mod 113   '=' token id 113   vocab 114
model      : 4-head, d_model=128, init_std=0.07071  (small init)
optimiser  : AdamW lr=0.001 betas=(0.9, 0.98) weight_decay=1.0
run        : seeds=5  epochs=40000  full-batch=3830
grok thr.  : [0.9, 0.95, 0.99] (primary 0.9)   dropout-variance: n_samples=100 rate=0.5
checkpoints: save every 50 (gcd of [100, 200, 250]), evaluate every 100
========================================================================
[seed 0] epoch  35000/40000  train_acc=1.0000  test_acc=1.0000  sum_w2=1355.1  elapsed=  6719.051s  d1000= 202.401s
[seed 0] epoch  36000/40000  train_acc=1.0000  test_acc=1.0000  sum_w2=1418.1  elapsed=  6915.737s  d1000= 196.686s
[seed 0] epoch  37000/40000  train_acc=1.0000  test_acc=1.0000  sum_w2=1300.1  elapsed=  7110.628s  d1000= 194.891s
[seed 0] epoch  38000/40000  train_acc=1.0000  test_acc=1.0000  sum_w2=1432.6  elapsed=  7318.332s  d1000= 207.704s
[seed 0] epoch  39000/40000  train_acc=1.0000  test_acc=1.0000  sum_w2=1312.9  elapsed=  7519.070s  d1000= 200.738s
[seed 0] epoch  39999/40000  train_acc=1.0000  test_acc=1.0000  sum_w2=991.7  elapsed=  7719.631s  d1000= 200.561s
[seed 0] done in 7720.1s  grok_epoch=12987  final_test_acc=1.0000
[seed 1] epoch      0/40000  train_acc=0.0086  test_acc=0.0093  sum_w2=1046.1  elapsed=     7.238s  d1000=   7.238s
[seed 1] epoch   1000/40000  train_acc=1.0000  test_acc=0.0091  sum_w2=4873.5  elapsed=   202.176s  d1000= 194.938s
[seed 1] epoch   2000/40000  train_acc=1.0000  test_acc=0.0096  sum_w2=3214.8  elapsed=   388.827s  d1000= 186.651s
[seed 1] epoch   3000/40000  train_acc=1.0000  test_acc=0.0166  sum_w2=4357.8  elapsed=   586.349s  d1000= 197.522s
[seed 1] epoch   4000/40000  train_acc=1.0000  test_acc=0.0280  sum_w2=4379.2  elapsed=   781.257s  d1000= 194.908s
[seed 1] epoch   5000/40000  train_acc=1.0000  test_acc=0.0612  sum_w2=3018.6  elapsed=   969.240s  d1000= 187.982s
[seed 1] epoch   6000/40000  train_acc=1.0000  test_acc=0.2773  sum_w2=3920.6  elapsed=  1157.825s  d1000= 188.586s
[seed 1] epoch   7000/40000  train_acc=1.0000  test_acc=0.9370  sum_w2=2470.5  elapsed=  1345.822s  d1000= 187.997s
[seed 1] epoch   8000/40000  train_acc=1.0000  test_acc=1.0000  sum_w2=1837.7  elapsed=  1534.126s  d1000= 188.304s
[seed 1] epoch   9000/40000  train_acc=1.0000  test_acc=1.0000  sum_w2=1548.8  elapsed=  1722.161s  d1000= 188.035s
[seed 1] epoch  10000/40000  train_acc=1.0000  test_acc=1.0000  sum_w2=1561.4  elapsed=  1910.626s  d1000= 188.465s
[seed 1] epoch  11000/40000  train_acc=1.0000  test_acc=1.0000  sum_w2=1656.6  elapsed=  2098.947s  d1000= 188.321s
[seed 1] epoch  12000/40000  train_acc=1.0000  test_acc=1.0000  sum_w2=1525.2  elapsed=  2287.236s  d1000= 188.290s
[seed 1] epoch  13000/40000  train_acc=1.0000  test_acc=1.0000  sum_w2=1736.8  elapsed=  2475.985s  d1000= 188.748s
[seed 1] epoch  14000/40000  train_acc=1.0000  test_acc=1.0000  sum_w2=1142.4  elapsed=  2664.132s  d1000= 188.147s
[seed 1] epoch  15000/40000  train_acc=1.0000  test_acc=1.0000  sum_w2=1817.0  elapsed=  2852.685s  d1000= 188.553s
[seed 1] epoch  16000/40000  train_acc=1.0000  test_acc=1.0000  sum_w2=1024.3  elapsed=  3040.729s  d1000= 188.044s
[seed 1] epoch  17000/40000  train_acc=1.0000  test_acc=1.0000  sum_w2=1700.3  elapsed=  3229.700s  d1000= 188.971s
